comments,manual_labels,gpt_labels
"some guy bring taliban flag to the mississauga march 

 palestinian protester ask man with taliban flag to leave",0,-1
mississauga mayor and city council will soon announce their withdrawal out of palestine,-1,1
how about we just let that country be and watch from the sideline for once we have enough shit to deal with in our own country,0,0
this comment section be a spicy hot dumpster fire,0,0
"the only way this even slow down be if hamas release hostage and that s not go to happen most be likely dead or be torturedrape 

 hamas plan to martyr the entire gaza population to garner support israel ca nt just do nothing especially while hamas be still attack and fire rocket at they their plan be use human shield so israel be pressure into stop which be nt a good ending either",-1,0
innocent civilian be die   we and they should urge hamas to surrender unconditionally right away,-1,-1
funny how they never march or protest against hama,-1,0
release the hostage first,-1,0
"dumb question   when I see people claim pro palestinian rally etc be they rally in support of hamas or the senseless violence and poverty of civilian because that s a very different palestinian rally than one support hamas 

 ditto for proisraeli rally   be it support the state of people I really wish headline would specify up front",0,0
should preface by say that rebel news be trash but just know that yes some of these propalestinian protester be also prohama,-1,0
"so uhwere just gon na ignore the fact that there be demonstrator wave taliban flag at this march 

 I mean if be go to be fair I do recall liberal label everyone who be at the trucker convoy nazi because there be a couple of people with nazi flag 

 should they not apply the same logic and label everyone at this rally a taliban enthusiast",-1,-1
I be on their side but unfortunately hamas be nt there will be peace when the terrorist be eliminate,1,0
delete,0,-1
be nt the violence cause by hamas hamas should nt receive support from canadians hamas use people as human shield in gaza for example they launch missile from the top of residential building they block road to prevent people from escape northern gaza they want people to stay in northern gaza when the israeli military invade,-1,1
"its crazy that a march against war crime be meet with such weird response yes hamas be a barbaric organization do you know what drive support for barbaric situation bomb woman and child absolutely nothing happen in gaza now be show those people anything but a sign that israel will wipe they off this planet 

 it be numerous war crime be commit currently and a protest against that be pretty obvious I m sorry that some people there bring flag or do other sign of support for horrid group it do nt take away two obvious thing for canadian yes we can protest and yes we should stand to show support against people be blow into oblivion",1,0
"strange how thing change in a week last weekend they be celebrate the glorious action by hamas this weekend they be lament the violence against the people of gaza the moment israel strike back 

 how consistent",1,-1
yes yes block traffic in canada and all will be fix,0,-1
lol   maybe they should not have start this round of violence,-1,0
"this be what hamas bank on happen launch an attack murder civilian run and hide behind woman and child in gaza wait for all the bleed heart in the west to start scream about palestinian casualty when israel mount a response and inevitably hit the human shield that the terrorist be use 

 why be no one blame hama for what be happen in gaza right now",-1,-1
"well they might get an end to the violence its just that the end might come from a thinly veil genocide 

 god israel be telegraph the genocide angle so hard it scare I",1,-1
