comments,results_True,results_chatgpt
these stupid war every couple year need to end so we can get on track to make humanity well,0.0,0
"  japan have be highly dependent on crude oil import from the middle east and have traditionally maintain friendly relation with arab country as well as israel which have be strongly back by tokyos key security ally the united states 

 important point commenter here may have miss",0.0,0
I hope that they can also move towards recognise palestine as a state,1.0,1
I hope its actual aid not fungible funding for future rocket,0.0,-1
provide 65 million to hamas,1.0,-1
"provide aid to gaza right now put every nation between a rock and a hard place we know that the palestinians need as much help as possible but the only way to give any aid be through the control authority ie hama 

 so no matter what if you hope any of the aid trickle through to the people who need it you be still go to have to let the terrorist because yes hamas be terrorist to both israel and the palestinians skim resource off the top if not just keep most of it 

 I would nt be surprised if only a small fraction of this 65 million aide actually get to the people it be design to help",1.0,1
the israelis have no where to go their people come from the land of canaan otherwise the land of judea which be otherwise modern day israel arabs be the descendant of ancient assyrian and most of the muslim counterpart occupy most the middle east whereas the israelis only have israel pretty much give they that much at most arab muslim have many alternative land to occupy it ll be much more different for the israelis to occupy than the palestinians would just bc most be nt muslim,-1.0,1
palestinians need it significantly more if you have nt be keep up with the news,1.0,-1
we get to do a lot of thing but I d say help a country experience ethnic cleansing and genocide justify some charity   especially give japan history be the victim of 2 abomb and ton of carpet bombing over civilian,1.0,1
perhaps the world should unite against hamas and let the un install an interim government which be more peaceful and compliant with the 2 state solition,-1.0,1
"you seem to have a cursory understanding of the history of israel who do you think actually displace the jews 

  as a result of the jewishroman war in the 1st and 2nd century ce many jews be kill displace or sell into slavery891011 follow the advent of christianity which be adopt by the grecoroman world under the influence of the roman empire the region demographic shift towards newfound christians who replace jews as the majority of the population by the 4th century however shortly after islam be consolidate across the arabian peninsula under muhammad byzantine christian rule over the land of israel be supersede by the arab conquest of the levant in the 7th century 

 seem like a classic case of white guilt to I one that palestinians have to pay for",-1.0,1
I m sorry to hear   on the bright side you be not be bomb or have your family annihilate   thing may seem rough but they can always be bad,1.0,1
if you be gon na sit here and tell a half baked story to suit your narrative go for it but I personally find it more important to highlight the state of apartheid that palestinians have be live under for 75 year palestinians want to be liberate say that the goal of hamas be to destroy israel and end the argument there kind of hide how israel be a fascist country who want to wipe palestinians out of the map and constantly lie in order to do so hamas exist because of israel because extremist movement occur when people live under extreme situation like genuinely piss off your comment be just misinformed it frustrate I to read it,1.0,0
funny I m see israel do all of the murdering also hear israeli leader call for the extermination of palestine so I think you might have your wire cross,1.0,-1
yes like the red cross so they can then give it to hamas,0.0,-1
